from,to,flow,cost
581,253,1.0,115.0
582,3432,1.0,146.0
584,1526,1.0,15.0
586,899,1.0,76.0
587,2461,3.0,6.0
589,1531,9.0,14.0
589,1805,1.0,74.0
589,1921,1.0,69.0
589,2460,1.0,61.0
589,2461,1.0,47.0
590,3871,1.0,13.0
591,677,2.0,20.0
601,3836,1.0,90.0
602,2184,1.0,63.0
606,1752,1.0,26.0
609,606,1.0,22.0
612,3962,1.0,43.0
614,75,1.0,53.0
614,211,1.0,20.0
614,1647,2.0,11.0
618,2996,1.0,79.0
622,57,1.0,93.0
626,335,4.0,22.0
626,627,5.0,13.0
626,4507,1.0,4.0
627,339,1.0,30.0
627,696,1.0,69.0
627,1267,1.0,73.0
627,1950,1.0,80.0
627,2361,1.0,159.0
627,2374,1.0,137.0
629,2774,1.0,75.0
630,1586,2.0,21.0
630,2236,1.0,40.0
630,2849,1.0,49.0
631,2237,1.0,7.0
634,519,1.0,36.0
637,899,1.0,68.0
637,3098,1.0,43.0
639,3684,1.0,22.0
639,3685,1.0,15.0
639,4424,1.0,54.0
640,1035,1.0,58.0
641,4424,1.0,21.0
643,409,4.0,33.0
643,411,1.0,17.0
645,2470,1.0,36.0
652,653,1.0,3.0
653,379,1.0,71.0
654,1032,1.0,132.0
654,1526,3.0,36.0
654,1917,2.0,7.0
654,2619,1.0,85.0
655,1032,1.0,146.0
655,1529,1.0,79.0
655,2573,5.0,7.0
657,1529,1.0,37.0
657,1920,1.0,7.0
657,3064,2.0,20.0
658,899,1.0,113.0
658,1529,1.0,51.0
658,2265,1.0,26.0
658,3064,1.0,34.0
659,1827,1.0,14.0
659,1922,1.0,7.0
660,285,1.0,101.0
660,1530,1.0,42.0
660,1611,2.0,21.0
667,1821,1.0,11.0
668,670,1.0,20.0
668,984,1.0,102.0
668,1154,1.0,52.0
668,1274,1.0,60.0
670,1888,1.0,45.0
673,590,1.0,77.0
673,3871,1.0,63.0
673,3968,1.0,19.0
673,4241,3.0,15.0
675,682,1.0,56.0
677,1592,1.0,82.0
677,3129,1.0,53.0
677,3866,1.0,55.0
677,3871,2.0,19.0
677,3872,1.0,26.0
677,3959,1.0,89.0
677,3967,1.0,62.0
680,215,1.0,120.0
680,393,1.0,86.0
680,682,1.0,21.0
680,772,1.0,66.0
680,780,1.0,38.0
680,785,1.0,49.0
680,1122,1.0,31.0
680,1125,1.0,72.0
680,2450,1.0,171.0
682,224,1.0,99.0
682,2806,1.0,72.0
685,1945,7.0,24.0
687,329,1.0,55.0
687,577,10.0,6.0
687,1882,4.0,24.0
688,215,1.0,34.0
688,216,9.0,6.0
688,1735,1.0,52.0
689,217,1.0,31.0
689,691,2.0,14.0
689,1948,3.0,24.0
690,335,1.0,39.0
690,1734,1.0,35.0
690,2546,1.0,49.0
691,224,2.0,7.0
691,329,1.0,74.0
692,627,1.0,48.0
692,1286,1.0,114.0
692,1735,1.0,39.0
693,250,2.0,21.0
693,4507,1.0,32.0
694,250,1.0,14.0
694,1266,1.0,41.0
695,250,2.0,7.0
696,341,5.0,9.0
696,700,1.0,28.0
697,1341,1.0,24.0
698,342,2.0,12.0
699,700,3.0,7.0
700,343,1.0,12.0
700,709,1.0,65.0
700,1286,1.0,50.0
700,1710,10.0,24.0
700,1901,2.0,39.0
700,4251,2.0,32.0
701,343,1.0,4.0
702,703,3.0,6.0
703,346,1.0,35.0
703,704,1.0,7.0
703,710,1.0,51.0
703,1975,2.0,25.0
704,1286,1.0,49.0
704,1901,1.0,82.0
705,347,3.0,14.0
705,706,1.0,7.0
705,715,1.0,73.0
706,2517,1.0,35.0
708,350,3.0,19.0
709,1976,2.0,54.0
709,1979,2.0,24.0
709,2517,1.0,72.0
710,711,6.0,7.0
711,351,2.0,24.0
711,714,4.0,21.0
714,715,2.0,7.0
714,723,1.0,66.0
714,2332,1.0,28.0
715,716,10.0,7.0
715,718,3.0,21.0
715,1005,1.0,43.0
715,2336,1.0,79.0
716,715,1.0,64.0
716,717,1.0,7.0
716,718,1.0,14.0
716,1005,1.0,35.0
716,1006,1.0,46.0
716,1389,1.0,63.0
716,1982,1.0,60.0
716,1983,2.0,53.0
716,1985,3.0,31.0
716,2039,1.0,50.0
716,3671,1.0,70.0
717,719,1.0,14.0
717,2611,1.0,35.0
718,719,5.0,7.0
719,358,1.0,33.0
719,721,6.0,14.0
719,1986,1.0,32.0
719,2887,1.0,35.0
719,3675,1.0,63.0
721,722,2.0,7.0
721,723,2.0,15.0
721,1390,1.0,64.0
721,1989,1.0,24.0
722,723,1.0,7.0
722,1015,1.0,107.0
722,1988,1.0,54.0
722,1990,1.0,32.0
722,2669,1.0,164.0
723,357,1.0,70.0
723,358,1.0,63.0
723,361,1.0,48.0
723,362,1.0,40.0
723,584,1.0,137.0
723,724,3.0,8.0
723,2344,1.0,64.0
723,2567,1.0,56.0
723,4377,1.0,44.0
724,1032,3.0,36.0
730,1282,1.0,49.0
734,2955,8.0,38.0
734,2996,1.0,72.0
736,2386,1.0,138.0
739,2996,1.0,64.0
740,1737,2.0,24.0
741,3265,1.0,114.0
741,3280,2.0,14.0
742,741,3.0,6.0
745,255,1.0,7.0
747,1009,1.0,126.0
748,1711,1.0,56.0
752,90,1.0,18.0
754,1009,1.0,75.0
754,3265,3.0,23.0
755,754,2.0,7.0
755,3265,1.0,31.0
756,755,1.0,7.0
757,755,1.0,14.0
762,1010,3.0,27.0
762,3260,7.0,30.0
762,3610,1.0,33.0
763,762,1.0,7.0
763,1394,1.0,139.0
764,763,1.0,7.0
767,762,1.0,36.0
768,767,1.0,7.0
769,355,1.0,133.0
769,763,1.0,44.0
769,768,1.0,7.0
769,2013,1.0,76.0
769,2888,1.0,47.0
769,3311,1.0,32.0
769,3312,1.0,38.0
769,3314,2.0,38.0
769,3628,1.0,53.0
770,643,1.0,88.0
772,1888,1.0,23.0
780,3158,1.0,19.0
785,335,1.0,157.0
785,680,8.0,50.0
785,1123,2.0,51.0
785,1750,4.0,13.0
787,538,2.0,59.0
790,791,4.0,23.0
791,2065,1.0,54.0
791,2656,1.0,76.0
791,2790,2.0,8.0
792,2975,1.0,67.0
800,801,2.0,7.0
800,802,1.0,14.0
800,2153,1.0,25.0
800,3151,1.0,17.0
801,411,1.0,57.0
801,643,1.0,39.0
802,643,1.0,47.0
802,3177,2.0,26.0
803,802,1.0,28.0
803,2156,1.0,24.0
805,413,1.0,37.0
805,800,1.0,58.0
805,1004,1.0,18.0
805,3622,2.0,21.0
810,420,1.0,25.0
811,810,1.0,15.0
812,144,2.0,48.0
815,19,1.0,17.0
815,420,1.0,53.0
817,422,1.0,46.0
818,42,1.0,7.0
820,17,1.0,99.0
821,430,1.0,11.0
825,434,3.0,11.0
828,2319,1.0,71.0
832,430,1.0,91.0
836,545,1.0,21.0
840,2495,1.0,22.0
846,4026,1.0,11.0
847,1657,1.0,7.0
852,518,1.0,8.0
857,1515,1.0,26.0
860,1316,1.0,7.0
860,1317,1.0,14.0
861,538,1.0,45.0
861,863,1.0,41.0
863,2063,8.0,7.0
863,2304,1.0,52.0
866,2653,1.0,40.0
869,685,6.0,27.0
875,3009,1.0,151.0
876,677,1.0,23.0
881,1569,4.0,21.0
881,2887,3.0,14.0
882,1991,1.0,79.0
883,362,1.0,16.0
883,1393,1.0,8.0
883,1394,5.0,15.0
884,2089,4.0,7.0
888,2996,1.0,44.0
889,888,1.0,15.0
889,2821,2.0,19.0
889,4393,1.0,7.0
891,57,1.0,149.0
891,2059,1.0,79.0
892,2996,1.0,25.0
