passenger,line,mod_cost
831,492,15.0
832,123,63.0
833,387,39.0
834,75,80.0
835,186,74.0
836,315,38.0
837,614,43.0
838,637,112.0
839,886,49.0
840,232,89.0
841,672,82.0
842,791,36.0
843,660,72.0
844,387,83.0
845,667,139.0
846,532,46.0
847,22,70.0
848,119,71.0
849,326,39.0
850,907,27.0
851,698,61.0
852,704,37.0
853,809,92.0
854,425,86.0
855,598,138.0
856,377,57.0
857,619,61.0
858,514,27.0
859,261,58.0
860,40,43.0
861,286,52.0
862,91,56.0
863,555,21.0
864,969,28.0
865,107,191.0
866,386,37.0
867,500,56.0
868,581,65.0
869,394,37.0
870,608,116.0
871,267,56.0
872,787,34.0
873,732,34.0
874,103,71.0
875,37,24.0
876,753,78.0
877,803,41.0
878,308,93.0
879,966,43.0
880,975,55.0
881,no_MT,43.0
882,244,51.0
883,826,70.0
884,596,108.0
885,no_MT,39.0
886,252,99.0
887,234,69.0
888,746,43.0
889,851,131.0
890,76,66.0
891,745,78.0
892,678,39.0
893,882,66.0
894,643,11.0
895,833,109.0
896,19,87.0
897,614,9.0
898,99,52.0
899,787,28.0
900,656,70.0
901,729,12.0
902,210,170.0
903,402,73.0
904,656,56.0
905,341,34.0
906,524,42.0
907,277,79.0
908,742,86.0
909,121,36.0
910,582,104.0
911,679,0.0
912,492,88.0
913,753,75.0
914,408,32.0
915,742,34.0
916,593,40.0
917,562,119.0
918,6,85.0
919,577,80.0
920,656,24.0
921,580,29.0
922,665,60.0
923,211,62.0
924,36,62.0
925,636,69.0
926,432,9.0
927,908,45.0
928,82,30.0
929,845,35.0
930,183,42.0
931,655,45.0
932,489,35.0
933,867,73.0
934,657,70.0
935,216,105.0
936,586,21.0
937,570,26.0
938,582,60.0
939,no_MT,56.0
940,316,99.0
941,956,107.0
942,699,55.0
943,742,59.0
944,252,39.0
945,409,78.0
946,320,63.0
947,421,72.0
948,872,41.0
949,751,17.0
950,778,46.0
951,810,49.0
952,33,29.0
953,803,21.0
954,680,69.0
955,745,30.0
956,no_MT,103.0
957,836,152.0
958,624,41.0
959,166,56.0
960,509,14.0
961,945,24.0
962,936,72.0
963,315,7.0
964,970,54.0
965,672,73.0
966,851,14.0
967,525,51.0
968,756,7.0
969,253,67.0
970,740,44.0
971,773,0.0
972,273,55.0
973,664,47.0
974,853,43.0
975,514,0.0
976,69,46.0
977,285,73.0
978,553,41.0
979,817,77.0
980,95,69.0
981,819,7.0
982,858,59.0
983,223,86.0
984,98,52.0
985,892,57.0
986,527,85.0
987,210,62.0
988,no_MT,52.0
989,146,88.0
990,945,100.0
991,839,91.0
992,484,30.0
993,275,17.0
994,40,103.0
995,683,66.0
996,608,42.0
997,963,68.0
998,949,40.0
999,341,79.0
1000,419,96.0
1001,888,62.0
1002,110,40.0
1003,489,74.0
1004,394,73.0
1005,498,58.0
1006,656,52.0
1007,568,42.0
1008,77,58.0
1009,783,9.0
1010,870,92.0
1011,no_MT,80.0
1012,500,75.0
1013,761,98.0
1014,530,92.0
1015,341,66.0
1016,64,68.0
1017,983,48.0
1018,808,51.0
1019,979,34.0
1020,126,42.0
1021,27,85.0
1022,882,67.0
1023,876,28.0
1024,316,70.0
1025,75,113.0
1026,984,86.0
1027,610,83.0
1028,683,41.0
1029,252,71.0
1030,521,62.0
1031,649,27.0
1032,471,36.0
1033,355,74.0
1034,613,15.0
1035,524,24.0
1036,510,71.0
1037,277,60.0
1038,419,89.0
1039,876,44.0
1040,26,57.0
1041,501,93.0
1042,670,16.0
1043,186,60.0
1044,582,107.0
1045,16,144.0
1046,447,36.0
1047,676,49.0
1048,629,42.0
1049,815,38.0
1050,463,55.0
1051,720,75.0
1052,507,68.0
1053,964,40.0
1054,765,55.0
1055,310,107.0
1056,490,86.0
1057,684,70.0
1058,627,73.0
1059,851,29.0
1060,424,70.0
1061,867,68.0
1062,22,44.0
1063,no_MT,29.0
1064,631,49.0
1065,535,129.0
1066,432,59.0
1067,216,72.0
1068,975,102.0
1069,499,97.0
1070,819,62.0
1071,241,69.0
1072,949,19.0
1073,979,37.0
1074,341,21.0
1075,89,54.0
1076,311,0.0
1077,614,66.0
1078,830,43.0
1079,96,40.0
1080,409,27.0
1081,728,71.0
1082,786,64.0
1083,820,32.0
1084,885,55.0
1085,582,102.0
1086,593,67.0
1087,164,51.0
1088,377,59.0
1089,778,34.0
1090,19,45.0
1091,146,8.0
1092,637,116.0
1093,107,55.0
1094,40,38.0
1095,454,108.0
1096,857,37.0
1097,495,12.0
1098,952,50.0
1099,856,83.0
1100,320,8.0
1101,279,55.0
1102,450,67.0
1103,409,26.0
1104,688,76.0
1105,791,69.0
1106,6,81.0
1107,366,28.0
1108,819,66.0
1109,597,88.0
1110,459,92.0
1111,753,123.0
1112,681,7.0
1113,258,61.0
1114,131,27.0
1115,415,7.0
1116,509,43.0
1117,869,8.0
1118,373,28.0
1119,273,86.0
1120,970,7.0
1121,779,17.0
1122,no_MT,38.0
1123,840,55.0
1124,760,41.0
1125,150,56.0
1126,258,75.0
1127,655,76.0
1128,823,36.0
1129,106,48.0
1130,474,49.0
1131,541,39.0
1132,42,34.0
1133,662,94.0
1134,no_MT,36.0
1135,678,52.0
1136,271,94.0
1137,470,128.0
1138,411,110.0
1139,943,36.0
1140,29,72.0
1141,453,59.0
1142,503,90.0
1143,421,65.0
1144,5,84.0
1145,189,59.0
1146,162,33.0
1147,453,65.0
1148,82,93.0
1149,416,27.0
1150,748,83.0
1151,758,43.0
1152,751,51.0
1153,279,61.0
1154,917,126.0
1155,525,21.0
1156,898,68.0
1157,204,46.0
1158,657,40.0
1159,539,51.0
1160,14,73.0
1161,130,26.0
1162,769,63.0
1163,688,172.0
1164,798,81.0
1165,222,80.0
1166,260,69.0
1167,644,90.0
1168,746,37.0
1169,33,29.0
1170,304,46.0
1171,228,55.0
1172,765,80.0
1173,432,41.0
1174,97,80.0
1175,664,40.0
1176,798,51.0
1177,914,20.0
1178,374,73.0
1179,824,109.0
1180,277,54.0
1181,908,44.0
1182,175,117.0
1183,956,39.0
1184,664,50.0
1185,434,91.0
1186,704,118.0
1187,593,52.0
1188,285,21.0
1189,917,35.0
1190,669,49.0
1191,810,34.0
1192,840,63.0
1193,454,13.0
1194,765,29.0
1195,819,51.0
1196,742,14.0
1197,150,64.0
1198,636,80.0
1199,729,59.0
1200,424,97.0
1201,680,57.0
1202,800,49.0
